Angle,Rect 1,Rect 2,Rect 3,Rect 4,Rect 5,Rect 6
0,0.602355,0.08285,0.05892,0.275675,0.03248,0.46238
5,0.60456,0.0589,0.093845,0.31623,0.034455,0.463335
10,0.77909,0.2571,0.25122,0.182795,0.207705,0.575765
15,0.96796,0.07231,0.08531,0,0.043995,0.467965
20,0.583575,0.09093,0.111925,0.003675,0.05987,0.479705
25,0.513705,0.123655,0.168625,0.023975,0.078945,0.48926
30,0.47629,0.122675,0.20162,0.026635,0.074035,0.486805
35,0.463855,0.13834,0.214825,0.0049,0.08456,0.49097
40,0.46312,0.130515,0.130995,0.003185,0.079175,0.490965
45,0.459935,0.14784,0.073075,0.008575,0.07379,0.48632
50,0.44989,0.20209,0.156405,0.01347,0.041055,0.4682
55,0.46214,0.250495,0.29498,0.022745,0.020555,0.45971
60,0.48923,0.25221,0.344835,0.023705,0.021745,0.460665
65,0.480165,0.236775,0.3397,0.019825,0.01787,0.45823
70,0.407365,0.228015,0.289345,0.01518,0.01518,0.45555
75,0.326235,0.24192,0.24192,0.018105,0.01714,0.4575
80,0.237035,0.253435,0.261015,0.00808,0.008805,0.45163
85,0.145895,0.25956,0.299385,0.00539,0.00465,0.449915
90,0.080885,0.266895,0.356045,0.007095,0.005385,0.45016
95,0.11044,0.261275,0.361165,0.007105,0.007595,0.45261
100,0.11949,0.24584,0.337745,0.018345,0.016875,0.457505
105,0.08897,0.22486,0.28543,0.03934,0.04081,0.468445
110,0.06501,0.19719,0.277855,0.05988,0.05915,0.477755
115,0.040565,0.162995,0.358985,0.084805,0.08383,0.491695
120,0.05012,0.145655,0.4384,0.06039,0.06112,0.48044
125,0.057205,0.140315,0.480435,0.081865,0.08015,0.489985
130,0.05964,0.12488,0.47921,0.10681,0.1073,0.50465
135,0.03836,0.10823,0.44646,0.146865,0.147605,0.52591
140,0.038115,0.088725,0.41202,0.18476,0.185245,0.54595
145,0.05941,0.08309,0.41692,0.19746,0.19917,0.55351
150,0.069615,0.07182,0.469735,0.20503,0.20552,0.55741
155,0.472075,0.054535,0.515405,0.185705,0.18644,0.52565
160,0.055755,0.036645,0.63588,0.207975,0.20822,0.558875
165,0.078435,0.03003,0.59143,0.27465,0.08554,0.49146
170,0.067205,0.025645,0.507115,0.3145,0.091885,0.496095
175,0.02129,0.018615,0.416185,0.369985,0.076965,0.488275
180,0.02589,0.026115,0.357985,0.379295,0.08603,0.492445
185,0.055,0.01666,0.302805,0.473605,0.09459,0.49902
190,0.052305,0.029545,0.307655,0.46874,0.127095,0.513185
195,0.02883,0.022515,0.300565,0.463365,0.15348,0.525665
200,0.00196,0.002205,0.271005,0.4487,0.16569,0.534475
205,0,0.00637,0.232635,0.420305,0.199885,0.553495
210,0.002205,0.003185,0.19059,0.38831,0.267605,0.588935
215,0.04914,0.011025,0.110915,0.329935,0.3216,0.61878
220,0.04522,0.00931,0.05012,0.283505,0.35701,0.63904
225,0.058155,0.001225,0.038115,0.275915,0.404675,0.66593
230,0.020045,0,0.03934,0.2742,0.43939,0.68498
235,0.009305,0.03273,0.062825,0.29179,0.47288,0.70359
240,0.00196,0.00539,0.045955,0.28228,0.500255,0.720165
245,0.0137,0,0.049385,0.2813,0.512225,0.726535
250,0.065985,0.000245,0.050365,0.283995,0.513465,0.727755
255,0.06404,0.00147,0.02906,0.26832,0.546935,0.74854
260,0.04179,0,0.004895,0.249775,0.57085,0.761965
265,0.056225,0.00245,0.000245,0.241465,0.57673,0.766865
270,0.105565,0.00049,0.002205,0.247585,0.549395,0.72385
275,0.153965,0,0.275905,0.444265,0.531755,0.17353
280,0.19942,0,0.278845,0.447205,0.52318,0.182825
285,0.238025,0.00049,0.28105,0.44892,0.50906,0.160055
290,0.70895,0.00979,0.290335,0.454795,0.50148,0.13712
295,0.15958,0.02371,0.300595,0.463335,0.46238,0.116315
300,0.15054,0.00931,0.28888,0.12978,0.41937,0.11851
305,0.179375,0.01248,0.29206,0.09996,0.357745,0.134925
310,0.20821,0.017135,0.291545,0.073535,0.320845,0.147355
315,0.27785,0.028335,0.024435,0.03885,0.28126,0.172305
320,0.84142,0.037135,0.00735,0.028315,0.230655,0.187685
325,0.366555,0.045465,0.29349,0.02807,0.196945,0.19621
330,0.41031,0.041545,0.015425,0.02759,0.16618,0.203315
335,0.413735,0.030275,0.021535,0.028315,0.135415,0.208215
340,0.43426,0.01712,0.03251,0.02761,0.120225,0.235795
345,0.501725,0.020545,0.042535,0.020805,0.095585,0.26299
350,0.563505,0.019325,0.044975,0.042035,0.0413,0.269795
355,0.58261,0.03151,0.07943,0.029305,0.02881,0.283465
360,0.507595,0.043015,0.071615,0.02663,0.02614,0.30795
